hoogte;1000;1200;1400;1600;1800;2000;2200;2400;2600;2800;3000;3200;3400;3600;3800;4000;4200;4400;4500
1000;635;668;701;735;768;801;833;867;901;933;967;999;1035;1068;1099;1133;1166;1201;1232
1100;653;686;721;756;792;829;860;895;933;968;1003;1038;1074;1107;1142;1179;1215;1252;1287
1200;668;705;742;779;816;853;890;929;964;1001;1038;1075;1113;1149;1185;1224;1260;1297;1332
1300;681;721;761;799;839;879;917;956;996;1033;1074;1114;1151;1191;1228;1284;1337;1393;1446
1400;701;742;782;826;865;906;946;990;1030;1071;1112;1152;1194;1251;1290;1331;1374;1415;1455
1500;717;761;803;845;890;933;976;1019;1060;1103;1147;1190;1248;1291;1332;1377;1420;1462;1504
1600;734;777;823;867;914;957;1002;1047;1092;1138;1183;1242;1287;1332;1378;1423;1467;1513;1555
1700;748;796;844;890;938;983;1031;1077;1124;1171;1231;1280;1326;1375;1422;1468;1515;1562;1605
1800;767;816;865;914;963;1011;1058;1109;1158;1222;1269;1320;1369;1418;1466;1517;1566;1710;1663
1900;783;833;885;935;986;1039;1089;1139;1189;1256;1308;1357;1409;1460;1509;1561;1614;1663;1714
2000;798;852;905;957;1009;1064;1118;1169;1238;1289;1342;1396;1449;1497;1552;1605;1658;1710;1763
2100;815;870;926;980;1034;1090;1144;1213;1268;1322;1378;1432;1484;1541;1596;1651;1706;1760;1814
2200;831;890;946;1002;1058;1118;1173;1244;1303;1358;1415;1471;1531;1587;1645;1700;1757;1813;1867
2300;850;907;968;1027;1084;1142;1216;1275;1333;1394;1452;1509;1570;1629;1688;1745;1804;1861;1918
2400;864;928;985;1047;1107;1168;1243;1305;1367;1426;1486;1548;1606;1667;1729;1793;1857;1922;1984
2500;881;943;1006;1069;1132;1194;1270;1334;1397;1461;1522;1584;1648;1710;1772;1835;1899;1961;2022
2600;900;964;1028;1092;1156;1238;1303;1368;1430;1495;1560;1626;1692;1755;1819;1848;1939;2001;2061
2700;914;982;1048;1117;1182;1263;1328;1397;1463;1528;1597;1662;1725;1797;1825;1892;1960;2026;
2800;932;1000;1070;1135;1219;1288;1357;1426;1494;1564;1633;1700;1768;1804;1870;1938;2006;;
2900;945;1017;1088;1157;1243;1315;1383;1456;1526;1597;1666;1739;1808;1843;1914;1988;;;
3000;966;1038;1109;1183;1269;1342;1415;1486;1560;1633;1706;1775;1814;1888;1958;2032;;;
3100;987;1055;1131;1208;1293;1368;1448;1520;1595;1673;1744;1815;1823;1931;2004;;;;
3200;1004;1076;1156;1230;1321;1397;1479;1552;1627;1710;1783;1851;1917;1973;;;;;
