hoogte;1000;1200;1400;1600;1800;2000;2200;2400;2600;2800;3000;3200;3400;3600;3800;4000;4200;4400;4600;4800;5000;5200;5400;5600;5800;6000
2000;938;1001;1063;1126;1188;1253;1314;1374;1439;1502;1563;1643;1707;1769;1830;1898;2023;2090;2153;2217;2283;2348;2415;2480;2548;2613
2200;970;1034;1101;1167;1233;1301;1366;1433;1497;1583;1647;1716;1782;1852;1915;1980;2114;2184;2252;2321;2389;2459;2527;2597;2665;2734
2400;997;1070;1139;1209;1279;1351;1419;1490;1578;1646;1717;1788;1858;1928;1997;2067;2204;2278;2348;2421;2493;2568;2640;2714;2788;2862
2600;1028;1104;1175;1250;1324;1397;1471;1562;1636;1710;1782;1859;1931;2005;2079;2153;2294;2372;2445;2522;2598;2673;2750;2823;2899;2974
2800;1059;1138;1214;1293;1368;1447;1539;1619;1697;1774;1852;1929;2006;2086;2163;2243;2385;2467;2546;2627;2705;2783;2860;2939;3016;3095
3000;1088;1169;1251;1330;1414;1494;1593;1675;1756;1837;1920;2000;2083;2163;2246;2325;2476;2555;2641;2726;2808;2890;2972;3056;3138;3220
3200;1165;1253;1339;1428;1516;1602;1691;1777;1866;1951;2040;2127;2215;2304;2389;2478;2566;2652;;;;;;;;
3400;1195;1286;1376;1468;1559;1649;1743;1832;1925;2015;2106;2198;2290;2382;2473;2560;2654;2745;;;;;;;;
3600;1224;1320;1415;1509;1604;1700;1797;1888;1985;2080;2174;2272;2367;2462;2556;2652;2745;2839;;;;;;;;
3800;1254;1355;1452;1550;1649;1748;1848;1943;2045;2145;2245;2340;2441;2540;2638;2736;2836;2934;;;;;;;;
4000;1285;1387;1489;1592;1696;1799;1897;2002;2106;2208;2311;2414;2515;2618;2720;2823;2926;3028;;;;;;;;
4200;1313;1418;1527;1634;1741;1847;1952;2058;2164;2270;2378;2484;2589;2698;2804;2909;3016;3123;;;;;;;;
4400;1347;1457;1565;1675;1784;1894;2004;2114;2224;2336;2447;2555;2666;2776;2888;2996;3107;3217;;;;;;;;
4600;1372;1488;1601;1717;1828;1942;2058;2170;2283;2397;2512;2625;2740;2855;2968;3083;3197;;;;;;;;;
4800;1406;1522;1640;1756;1873;1992;2110;2225;2343;2463;2580;2697;2816;2932;3049;3169;;;;;;;;;;
5000;1434;1555;1675;1799;1920;2039;2162;2282;2404;2527;2647;2767;2891;3012;3133;3255;;;;;;;;;;
5200;1463;1590;1716;1839;1967;2090;2215;2340;2465;2591;2717;2843;2967;3091;3215;;;;;;;;;;;
5400;1492;1625;1752;1881;2008;2139;2268;2396;2526;2652;2783;2911;3040;3170;;;;;;;;;;;;
5600;1524;1657;1790;1922;2053;2187;2319;2451;2585;2718;2849;2985;3116;;;;;;;;;;;;;
5800;1553;1690;1826;1965;2098;2234;2372;2507;2645;2782;2920;3052;3190;;;;;;;;;;;;;
6000;1584;1722;1864;2003;2144;2283;2425;2565;2705;2846;2987;3127;;;;;;;;;;;;;;
